date,state,county,zip,agency,agency_id,ori,type,population_policed,operating_budget,agency_type
2025-05-16 am,FLORIDA,Okaloosa County,32579,okaloosa county sheriff,636924,FL0460000,Task Force Model,207269,37652213,(001) Sheriff
2025-05-16 am,FLORIDA,Okeechobee County,34973,okeechobee county sheriff,636925,FL0470000,Warrant Service Officer,41537,18000000,(001) Sheriff
2025-05-16 am,FLORIDA,Okeechobee County,34973,okeechobee county sheriff,636925,FL0470000,Task Force Model,41537,18000000,(001) Sheriff
2025-05-16 am,FLORIDA,NA,34972,okeechobee police,636926,FL0470100,Task Force Model,5731,2497208,(003) Local Police
2025-05-16 am,FLORIDA,NA,32763,orange city police,636928,FL0641000,Task Force Model,11804,292347,(003) Local Police
2025-05-16 am,FLORIDA,Orange County,32802,orange county corrections,636929,FL0480000,Warrant Service Officer,1380645,234018039,(001) Sheriff
2025-05-16 am,FLORIDA,Orange County,NA,orange county sheriff,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,32805,orlando police,636931,FL0480400,Task Force Model,285713,164150495,(003) Local Police
2025-05-16 am,FLORIDA,NA,32174,ormond beach police,636932,FL0640400,Task Force Model,43475,8300000,(003) Local Police
2025-05-16 am,FLORIDA,Osceola County,34744,osceola county corrections,636933,FL0490000,Warrant Service Officer,367990,73143736,(001) Sheriff
2025-05-16 am,FLORIDA,Osceola County,NA,osceola county sheriff,NA,NA,Task Force Model,NA,NA,NA
2025-05-16 am,FLORIDA,NA,32765,oviedo police,636934,FL0590400,Task Force Model,41557,7841572,(003) Local Police
2025-05-16 am,FLORIDA,Palm Beach County,33406,palm beach county sheriff,636939,FL0500000,Warrant Service Officer,1485941,634269823,(001) Sheriff
2025-05-16 am,FLORIDA,Palm Beach County,33406,palm beach county sheriff,636939,FL0500000,Task Force Model,1485941,634269823,(001) Sheriff
2025-05-16 am,FLORIDA,NA,33410,palm beach gardens police,636940,FL0502600,Task Force Model,56284,24868178,(003) Local Police
2025-05-16 am,FLORIDA,NA,32413,panama city beach police,636946,FL0030600,Task Force Model,13065,8100000,(003) Local Police
2025-05-16 am,FLORIDA,NA,32405,panama city police,636947,FL0030100,Task Force Model,36908,12035986,(003) Local Police
